Prueba,Eje x,Eje y,Eje z
540,27.71,13.98,91.37
541,33.75,13.73,92.83
542,40.34,16.3,93.08
543,40.34,18.01,94.73
544,37.9,19.47,99.0
545,39.18,20.32,103.88
546,39.73,18.92,108.64
547,38.02,16.3,113.59
548,36.25,13.85,118.41
549,37.41,12.02,121.58
550,47.18,12.27,122.56
551,63.23,13.0,123.29
552,65.0,15.32,126.89
553,56.88,17.64,130.43
554,50.23,19.78,133.91
555,45.84,21.55,136.84
556,41.2,22.52,137.45
557,37.48,23.74,135.56
558,38.21,23.5,130.92
559,42.54,18.86,126.1
560,47.49,14.65,123.23
561,44.56,13.79,121.22
562,37.96,16.11,119.02
563,31.62,21.12,116.39
564,18.74,26.06,115.17
565,4.09,29.48,117.43
566,-2.01,27.22,119.63
567,2.99,22.28,120.18
568,16.66,19.35,119.69
569,31.56,18.01,117.8
570,46.39,18.25,114.01
571,58.47,21.85,111.88
572,65.67,24.29,112.0
573,69.82,24.72,113.46
574,69.52,24.05,116.76
575,68.48,23.62,120.73
576,68.48,23.07,122.19
577,70.8,22.4,121.7
578,71.47,23.5,122.07
579,67.63,26.37,123.6
580,66.59,28.38,124.76
581,74.71,28.02,124.15
582,83.74,27.22,125.24
583,83.07,25.51,128.91
584,72.33,24.6,133.24
585,67.87,24.05,134.77
586,69.58,24.17,134.95
587,72.69,24.84,135.68
588,72.88,26.31,137.57
589,67.81,27.1,139.04
590,61.22,26.12,138.43
591,60.79,23.25,134.16
592,66.41,19.17,126.4
593,70.43,15.93,118.84
594,60.3,15.26,115.11
595,40.77,14.65,114.99
596,25.09,15.87,117.86
597,20.45,17.82,120.97
598,28.02,15.81,119.51
599,38.51,10.5,112.85
600,47.24,2.56,103.82
601,60.12,-5.68,95.15
602,66.53,-10.01,90.94
603,61.95,-12.76,90.21
604,60.42,-16.36,90.15
605,61.46,-19.96,89.97
606,55.42,-24.23,88.81
607,46.33,-27.53,85.75
608,43.33,-29.17,80.99
609,41.69,-31.25,76.78
610,37.78,-34.18,73.55
611,32.59,-35.71,70.31
612,31.37,-34.24,67.63
613,33.26,-32.35,65.19
614,34.42,-31.86,60.79
615,38.45,-31.19,55.3
616,43.52,-30.46,50.23
617,41.87,-28.32,46.51
618,37.54,-25.33,43.7
619,30.7,-22.71,39.37
620,23.74,-20.94,32.53
621,17.52,-18.07,22.95
622,2.32,-15.32,15.38
623,-7.39,-12.08,10.31
624,-12.57,-9.09,4.03
625,-16.54,-6.23,-5.07
626,-21.79,-4.39,-14.59
627,-21.91,-3.6,-21.18
628,-20.08,-2.2,-25.51
629,-14.89,-0.43,-28.87
