Prueba,Eje x,Eje y,Eje z
842,-18.43,-53.77,34.42
843,-21.48,-50.29,37.96
844,-23.5,-41.44,38.76
845,-20.87,-31.68,35.71
846,-16.17,-25.21,29.05
847,-5.07,-23.56,19.71
848,4.09,-27.04,10.31
849,-4.27,-33.08,1.28
850,-21.67,-39.55,-5.92
851,-27.77,-43.52,-10.8
852,-26.86,-43.15,-13.61
853,-29.05,-36.07,-13.12
854,-30.15,-24.78,-10.99
855,-29.85,-12.15,-5.0
856,-34.24,-3.54,-0.55
857,-45.96,3.48,3.97
858,-57.01,6.59,6.41
859,-64.15,2.5,-0.31
860,-75.99,-5.92,-15.5
861,-79.59,-9.77,-26.49
862,-78.49,-15.81,-30.4
863,-87.52,-20.14,-33.69
864,-104.61,-14.89,-35.52
865,-107.85,-6.65,-36.44
866,-96.25,1.53,-34.18
867,-83.19,12.45,-29.66
868,-77.15,22.77,-25.39
869,-82.58,28.2,-24.23
870,-93.63,28.38,-28.2
871,-102.54,23.62,-38.09
872,-102.91,15.5,-52.86
873,-98.14,7.81,-67.57
874,-91.0,-0.43,-78.19
875,-92.59,-8.79,-84.72
876,-105.47,-14.47,-88.75
877,-113.22,-15.69,-90.27
878,-107.6,-11.6,-87.16
879,-95.95,-5.0,-81.48
880,-80.63,0.79,-80.08
881,-66.41,2.32,-84.53
882,-55.97,-0.67,-92.22
883,-55.79,-5.25,-102.36
884,-63.11,-6.9,-113.4
885,-69.34,-9.16,-124.15
